iter	Passed	Remaining
0	0	56
1	1	76
2	2	89
3	3	91
4	5	98
5	5	87
6	6	87
7	7	88
8	8	88
9	9	82
10	9	77
11	10	79
12	11	79
13	12	79
14	14	80
15	15	79
16	16	79
17	17	79
18	18	80
19	19	79
20	20	77
21	21	77
22	22	74
23	23	74
24	24	73
25	25	73
26	26	71
27	27	70
28	28	70
29	29	69
30	31	69
31	31	67
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	63
38	39	62
39	40	61
40	41	60
41	42	59
42	43	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	59	44
57	60	43
58	61	42
59	61	41
60	63	40
61	64	39
62	65	38
63	66	37
64	66	35
65	68	35
66	68	33
67	69	32
68	70	31
69	71	30
70	73	29
71	74	28
72	75	28
73	76	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
