iter	Logloss
0	0.6839111346
1	0.6747296431
2	0.667176165
3	0.6587126023
4	0.6495429731
5	0.6423809468
6	0.6355910683
7	0.6284128619
8	0.6223160796
9	0.6167421991
10	0.6108815072
11	0.6058584152
12	0.599934532
13	0.5939396091
14	0.5904261039
15	0.5863617688
16	0.5792977214
17	0.5746544217
18	0.568625884
19	0.5647350967
20	0.56040563
21	0.5558866832
22	0.5510120302
23	0.5469439218
24	0.5427077828
25	0.5386741707
26	0.534736365
27	0.5313399848
28	0.5289797576
29	0.5246540476
30	0.5216295123
31	0.5173692042
32	0.5138315563
33	0.5103493758
34	0.5064361028
35	0.5033597282
36	0.4997640232
37	0.4968765334
38	0.4934522399
39	0.4912567252
40	0.4882531185
41	0.4851654402
42	0.4811836382
43	0.4784005586
44	0.4762036596
45	0.4728793062
46	0.47089089
47	0.4686486357
48	0.4657672829
49	0.463549568
50	0.4613218665
51	0.4586372193
52	0.4567282716
53	0.4538796521
54	0.4517153045
55	0.4496660532
56	0.4476192023
57	0.4458206628
58	0.4427010026
59	0.4408356474
60	0.4394687604
61	0.4377107175
62	0.4350886396
63	0.4326615792
64	0.4316709136
65	0.4301367303
66	0.4276356037
67	0.4251288084
68	0.4237611195
69	0.421464893
70	0.4195471833
71	0.4176370806
72	0.4153509541
73	0.4129960624
74	0.4105686308
75	0.4088987999
76	0.4078998872
77	0.4050005067
78	0.4029427353
79	0.4013498815
80	0.3993645336
81	0.396593202
82	0.3945644449
83	0.3929817573
84	0.3902117695
85	0.388622028
86	0.3873611327
87	0.3858574317
88	0.3844426329
89	0.3826781879
90	0.3811404043
91	0.3795343075
92	0.3778783296
93	0.3761845136
94	0.3748244921
95	0.3724255748
96	0.3709875344
97	0.3697936918
98	0.3680754184
99	0.3666083799
