iter	Passed	Remaining
0	0	90
1	1	89
2	3	101
3	4	103
4	5	100
5	6	105
6	12	165
7	13	149
8	14	141
9	15	137
10	19	161
11	20	151
12	23	158
13	27	167
14	30	172
15	31	166
16	33	162
17	34	158
18	35	152
19	36	146
20	38	143
21	40	142
22	41	138
23	41	131
24	42	128
25	43	124
26	44	120
27	46	118
28	47	115
29	48	113
30	49	110
31	50	107
32	51	104
33	52	101
34	52	98
35	53	95
36	53	91
37	54	89
38	55	86
39	56	84
40	58	83
41	59	81
42	60	79
43	61	78
44	63	77
45	64	75
46	64	72
47	65	71
48	66	69
49	68	68
50	70	67
51	71	66
52	73	64
53	74	63
54	76	62
55	77	61
56	78	59
57	80	58
58	82	57
59	83	55
60	84	54
61	85	52
62	87	51
63	88	50
64	89	48
65	91	46
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	101	35
74	102	34
75	102	32
76	102	30
77	103	29
78	104	27
79	104	26
80	105	24
81	105	23
82	106	21
83	107	20
84	107	19
85	108	17
86	109	16
87	109	14
88	110	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
