iter	Passed	Remaining
0	4	427
1	8	423
2	12	396
3	15	382
4	19	379
5	23	375
6	28	378
7	32	376
8	36	372
9	40	366
10	44	362
11	48	355
12	52	351
13	56	348
14	60	342
15	64	336
16	68	332
17	71	327
18	76	325
19	80	323
20	85	319
21	89	316
22	93	312
23	97	307
24	100	302
25	104	298
26	108	293
27	112	288
28	115	283
29	119	279
30	123	275
31	131	278
32	135	274
33	139	270
34	142	264
35	146	260
36	150	256
37	155	253
38	159	249
39	163	245
40	167	240
41	171	237
42	177	235
43	182	232
44	186	228
45	190	223
46	195	220
47	199	215
48	203	211
49	207	207
50	212	204
51	216	199
52	220	195
53	224	191
54	229	187
55	234	184
56	239	180
57	244	177
58	248	172
59	252	168
60	256	164
61	261	160
62	267	156
63	271	152
64	279	150
65	283	145
66	291	143
67	295	138
68	301	135
69	306	131
70	315	128
71	323	125
72	329	121
73	333	117
74	337	112
75	342	108
76	347	103
77	355	100
78	359	95
79	363	90
80	366	86
81	370	81
82	375	76
83	379	72
84	382	67
85	390	63
86	393	58
87	397	54
88	401	49
89	404	44
90	408	40
91	412	35
92	416	31
93	419	26
94	423	22
95	426	17
96	430	13
97	434	8
98	437	4
99	441	0
