iter	Passed	Remaining
0	8	807
1	16	795
2	24	780
3	31	755
4	38	740
5	46	726
6	53	710
7	60	700
8	68	695
9	76	686
10	83	676
11	90	666
12	98	659
13	105	650
14	113	640
15	120	633
16	128	625
17	135	617
18	142	608
19	150	600
20	158	594
21	165	586
22	172	579
23	181	573
24	188	566
25	196	558
26	203	551
27	211	543
28	219	536
29	227	530
30	235	523
31	257	546
32	269	546
33	277	538
34	284	528
35	292	519
36	299	510
37	306	500
38	314	491
39	321	482
40	328	473
41	335	463
42	342	454
43	351	446
44	358	437
45	366	429
46	374	421
47	381	413
48	389	405
49	396	396
50	404	388
51	412	380
52	419	372
53	430	367
54	439	359
55	446	350
56	454	342
57	460	333
58	468	325
59	476	317
60	483	309
61	490	300
62	498	292
63	505	284
64	513	276
65	521	268
66	528	260
67	535	251
68	542	243
69	549	235
70	557	227
71	564	219
72	571	211
73	579	203
74	586	195
75	594	187
76	602	179
77	609	172
78	617	164
79	624	156
80	631	148
81	639	140
82	647	132
83	654	124
84	662	116
85	669	108
86	677	101
87	684	93
88	692	85
89	699	77
90	706	69
91	714	62
92	722	54
93	730	46
94	737	38
95	744	31
96	752	23
97	759	15
98	767	7
99	774	0
