iter	Logloss
0	0.6678491771
1	0.6476445875
2	0.6281422895
3	0.6130902293
4	0.5940135105
5	0.5771746713
6	0.5598014586
7	0.5452962102
8	0.535762367
9	0.5209855483
10	0.5082182224
11	0.4950610012
12	0.4821076308
13	0.4701115395
14	0.4596114675
15	0.4493413438
16	0.4406690115
17	0.4298494672
18	0.4197423996
19	0.4096035184
20	0.3977360967
21	0.3908619
22	0.3817058716
23	0.3744489704
24	0.3678422857
25	0.361366169
26	0.3548270914
27	0.3472507653
28	0.341760285
29	0.3334808196
30	0.3254207102
31	0.3169301349
32	0.3094771072
33	0.30477684
34	0.3008780957
35	0.2966850447
36	0.2912189295
37	0.2861659819
38	0.2789254424
39	0.2753867425
40	0.2726922739
41	0.2672807705
42	0.2620314533
43	0.2576396554
44	0.2532138155
45	0.24900477
46	0.2455516375
47	0.2410472258
48	0.2371266326
49	0.2343669651
50	0.2305505476
51	0.2280621471
52	0.223639389
53	0.2207813057
54	0.218515126
55	0.2155014955
56	0.2120480701
57	0.2083616665
58	0.2058027364
59	0.2029508199
60	0.2007327139
61	0.1985909425
62	0.1945043075
63	0.1927898147
64	0.1902821822
65	0.1884618414
66	0.1851967333
67	0.1826238229
68	0.1795997388
69	0.1786015375
70	0.1772379565
71	0.1758460979
72	0.1734382284
73	0.1702450585
74	0.1688761199
75	0.1668749465
76	0.1649434959
77	0.1615966062
78	0.1602320327
79	0.1580625761
80	0.1554030844
81	0.1529937071
82	0.1515778881
83	0.1496225032
84	0.1477151656
85	0.1454668974
86	0.1431640952
87	0.1421353508
88	0.1408835466
89	0.1393101737
90	0.1368429576
91	0.1351081813
92	0.1329397193
93	0.1309722254
94	0.128967063
95	0.1280512838
96	0.1269567397
97	0.1250832063
98	0.1235778831
99	0.1223422634
