iter	Passed	Remaining
0	1	121
1	2	131
2	4	133
3	5	126
4	6	123
5	7	121
6	9	122
7	10	123
8	12	130
9	14	127
10	15	126
11	17	125
12	18	122
13	19	121
14	21	120
15	22	118
16	23	117
17	25	114
18	26	111
19	27	110
20	29	109
21	29	105
22	31	103
23	32	103
24	33	101
25	35	100
26	36	99
27	38	98
28	39	96
29	40	95
30	41	93
31	43	92
32	44	90
33	45	89
34	47	87
35	48	85
36	49	84
37	50	82
38	52	81
39	53	80
40	55	79
41	56	78
42	57	76
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	66	69
49	67	67
50	69	66
51	70	65
52	71	63
53	72	62
54	74	60
55	75	59
56	76	57
57	78	56
58	79	54
59	80	53
60	82	52
61	83	51
62	84	49
63	85	48
64	87	46
65	88	45
66	89	44
67	91	42
68	92	41
69	93	40
70	95	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	104	29
78	105	28
79	106	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	118	14
89	120	13
90	122	12
91	123	10
92	124	9
93	126	8
94	127	6
95	129	5
96	130	4
97	131	2
98	132	1
99	133	0
