iter	Logloss
0	0.6722373721
1	0.6539477416
2	0.6371122859
3	0.6201990886
4	0.6041275287
5	0.5898966776
6	0.5782274239
7	0.5675942201
8	0.5558317791
9	0.5467016371
10	0.5374379634
11	0.5298804738
12	0.5212927498
13	0.5134272595
14	0.5050861928
15	0.4990967562
16	0.49285017
17	0.4886719059
18	0.4836676952
19	0.4788591647
20	0.475342485
21	0.4710350854
22	0.4662114223
23	0.4623317943
24	0.4589626992
25	0.4543152507
26	0.4508158233
27	0.4473434402
28	0.4437381651
29	0.4401554713
30	0.4366494162
31	0.4324786242
32	0.4290604116
33	0.4272057419
34	0.4241850791
35	0.4216845517
36	0.4185021725
37	0.4159121984
38	0.4136065144
39	0.411332948
40	0.4086851434
41	0.4079301731
42	0.4055315488
43	0.4038540771
44	0.4021543778
45	0.4008914509
46	0.3987018812
47	0.3962198332
48	0.3942314612
49	0.3929079607
50	0.3905949845
51	0.3889064734
52	0.3867729211
53	0.3843056361
54	0.3822549982
55	0.3812148451
56	0.3786353685
57	0.3771371528
58	0.3750088559
59	0.3739767637
60	0.3724642494
61	0.3696441853
62	0.3683482777
63	0.3675245679
64	0.3667450847
65	0.3660329265
66	0.3648225109
67	0.363617444
68	0.3625487841
69	0.3613747006
70	0.3600050859
71	0.3579923516
72	0.3574172988
73	0.3564329732
74	0.3547795197
75	0.353708349
76	0.3511723957
77	0.3498972658
78	0.3489800899
79	0.3478102191
80	0.3457107775
81	0.3447159182
82	0.3428688856
83	0.3415739654
84	0.3405544196
85	0.3397004375
86	0.3389268233
87	0.3381808679
88	0.3367645071
89	0.3362957023
90	0.3358355504
91	0.3343777982
92	0.3337375403
93	0.3322729189
94	0.331796705
95	0.3305210165
96	0.3294463535
97	0.328284692
98	0.3267116047
99	0.3252020035
