iter	Passed	Remaining
0	1	144
1	2	137
2	4	136
3	5	134
4	7	134
5	8	131
6	10	138
7	12	138
8	13	137
9	14	134
10	16	132
11	17	129
12	19	129
13	20	127
14	21	124
15	23	122
16	24	119
17	25	117
18	27	115
19	28	113
20	29	111
21	31	110
22	32	110
23	34	108
24	35	106
25	36	105
26	38	102
27	39	101
28	40	100
29	42	98
30	43	97
31	45	95
32	46	94
33	48	93
34	49	91
35	50	90
36	52	89
37	53	87
38	55	86
39	56	84
40	57	83
41	59	82
42	61	81
43	62	79
44	64	78
45	65	76
46	66	74
47	68	73
48	69	72
49	70	70
50	74	71
51	75	69
52	77	68
53	78	66
54	79	65
55	81	63
56	82	62
57	84	60
58	85	59
59	86	57
60	88	56
61	89	55
62	91	53
63	92	51
64	93	50
65	94	48
66	96	47
67	97	45
68	99	44
69	100	43
70	101	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	30
79	114	28
80	115	27
81	117	25
82	118	24
83	119	22
84	121	21
85	122	19
86	123	18
87	125	17
88	126	15
89	128	14
90	129	12
91	130	11
92	132	9
93	133	8
94	135	7
95	136	5
96	137	4
97	139	2
98	140	1
99	141	0
