iter	Logloss
0	0.6688907837
1	0.6558230974
2	0.6488838937
3	0.6435211461
4	0.63904348
5	0.6345594199
6	0.6325596809
7	0.6302984745
8	0.6279053343
9	0.6257603644
10	0.623625366
11	0.6219450511
12	0.6207179502
13	0.6187613996
14	0.6164607318
15	0.6150535252
16	0.6133671744
17	0.6104415868
18	0.6090553182
19	0.6075458781
20	0.6065970577
21	0.6053095171
22	0.6036041699
23	0.6019782511
24	0.5996720003
25	0.5976185366
26	0.5959976653
27	0.5942260661
28	0.5929383389
29	0.5922024971
30	0.5909979493
31	0.5896879642
32	0.588568683
33	0.5867613733
34	0.5853400513
35	0.5835405375
36	0.5812837897
37	0.5796226582
38	0.5778547433
39	0.5761657303
40	0.573999839
41	0.5723012962
42	0.5703915567
43	0.5698627795
44	0.5682472516
45	0.5666067507
46	0.5651136275
47	0.5646882874
48	0.5620214925
49	0.5603854136
50	0.5588103197
51	0.5574105401
52	0.5559847414
53	0.5541087018
54	0.5533695315
55	0.5520871051
56	0.5496690861
57	0.5483139671
58	0.5472143011
59	0.5468667398
60	0.544534152
61	0.5428017182
62	0.5415384127
63	0.5400180039
64	0.538868937
65	0.537854083
66	0.5364376264
67	0.5352712248
68	0.5340723338
69	0.531673321
70	0.5305793433
71	0.5294001694
72	0.5282076926
73	0.5268388776
74	0.5263648528
75	0.5253894449
76	0.5240667479
77	0.5226904659
78	0.521163208
79	0.5198149098
80	0.5189378438
81	0.51776332
82	0.5166094933
83	0.5154599075
84	0.5148833286
85	0.5138753966
86	0.5125661995
87	0.5120327077
88	0.5113375747
89	0.5103337772
90	0.5097766227
91	0.5089218338
92	0.5076988769
93	0.5063496174
94	0.5054009432
95	0.5047594804
96	0.5037509535
97	0.5025123944
98	0.5019734171
99	0.5001358256
