iter	Passed	Remaining
0	7	788
1	16	792
2	24	784
3	32	784
4	40	775
5	48	765
6	57	763
7	67	774
8	74	748
9	82	739
10	89	723
11	97	718
12	105	707
13	112	691
14	121	687
15	129	677
16	138	673
17	145	661
18	155	663
19	163	654
20	171	645
21	178	632
22	187	627
23	194	616
24	204	612
25	212	605
26	220	595
27	227	585
28	235	577
29	242	566
30	251	559
31	259	550
32	268	544
33	275	534
34	282	525
35	292	520
36	301	513
37	308	503
38	316	495
39	323	485
40	333	479
41	342	472
42	349	463
43	356	454
44	365	447
45	373	438
46	380	429
47	394	427
48	402	418
49	412	412
50	420	403
51	433	399
52	440	390
53	449	382
54	458	375
55	466	366
56	474	358
57	482	349
58	491	341
59	499	332
60	517	331
61	525	322
62	534	313
63	541	304
64	549	295
65	557	287
66	565	278
67	573	270
68	583	262
69	591	253
70	598	244
71	607	236
72	616	227
73	626	220
74	634	211
75	642	202
76	650	194
77	660	186
78	668	177
79	677	169
80	687	161
81	695	152
82	706	144
83	713	135
84	722	127
85	729	118
86	738	110
87	746	101
88	754	93
89	761	84
90	770	76
91	777	67
92	785	59
93	797	50
94	806	42
95	815	33
96	829	25
97	838	17
98	845	8
99	858	0
