iter	Logloss
0	0.6685652639
1	0.6499298649
2	0.6316932161
3	0.6145037985
4	0.5984833952
5	0.5826503434
6	0.5694983579
7	0.5574601389
8	0.5457296227
9	0.5343580768
10	0.5249928824
11	0.5160825519
12	0.5065487239
13	0.4995894896
14	0.4918630528
15	0.4842530192
16	0.4790341632
17	0.4731508247
18	0.4702933057
19	0.4668314722
20	0.4607486372
21	0.4567539654
22	0.4528075574
23	0.4481610396
24	0.4447881753
25	0.4407541667
26	0.4368699085
27	0.4324195333
28	0.4283496883
29	0.4252080421
30	0.4229112693
31	0.4192972074
32	0.4163764148
33	0.4139392013
34	0.411497874
35	0.4080955814
36	0.405084077
37	0.4021152142
38	0.4003199059
39	0.3985495437
40	0.3978083804
41	0.3954915959
42	0.3937509995
43	0.3918805397
44	0.3895388802
45	0.3865351092
46	0.3842097784
47	0.3821710369
48	0.379903875
49	0.3784698404
50	0.3770905439
51	0.3752716608
52	0.373698554
53	0.3724264567
54	0.3711984162
55	0.369889424
56	0.3676259309
57	0.3658214992
58	0.3641938653
59	0.3630501112
60	0.3615573948
61	0.360061837
62	0.3585253867
63	0.3563614326
64	0.3544919865
65	0.3524691561
66	0.3518599077
67	0.3502952328
68	0.3491063184
69	0.348032945
70	0.3471246369
71	0.3457404297
72	0.3438935817
73	0.3422922354
74	0.3410753538
75	0.3400110384
76	0.3382683314
77	0.3374428892
78	0.3360302379
79	0.3336145233
80	0.3322953301
81	0.3316398784
82	0.3310285302
83	0.3299512653
84	0.328516984
85	0.3271213469
86	0.3263752315
87	0.3258123706
88	0.3244226151
89	0.3232128054
90	0.3217840005
91	0.3207417034
92	0.319965989
93	0.3186397015
94	0.3175272721
95	0.3159522121
96	0.3151324479
97	0.3147709707
98	0.3136740403
99	0.313119713
