iter	Passed	Remaining
0	0	81
1	1	70
2	2	86
3	4	98
4	5	101
5	6	100
6	7	98
7	8	101
8	10	106
9	11	104
10	12	104
11	14	103
12	15	102
13	16	103
14	17	101
15	18	99
16	19	96
17	21	96
18	21	93
19	23	92
20	24	92
21	25	91
22	27	91
23	28	90
24	29	89
25	31	88
26	32	89
27	34	87
28	35	86
29	36	85
30	37	84
31	39	83
32	41	84
33	42	82
34	43	81
35	45	80
36	46	78
37	47	78
38	49	77
39	50	76
40	51	74
41	53	73
42	54	72
43	56	71
44	57	70
45	58	69
46	59	67
47	61	66
48	62	64
49	64	64
50	65	62
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	75	52
59	76	51
60	78	50
61	79	48
62	81	47
63	82	46
64	84	45
65	85	44
66	86	42
67	88	41
68	89	40
69	90	38
70	92	37
71	93	36
72	94	35
73	97	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	105	26
80	106	24
81	107	23
82	108	22
83	110	20
84	111	19
85	112	18
86	114	17
87	114	15
88	115	14
89	117	13
90	118	11
91	119	10
92	121	9
93	122	7
94	123	6
95	125	5
96	126	3
97	127	2
98	129	1
99	130	0
