iter	Accuracy	MultiClass
0	0.9999663736	0.9093639008
1	0.9999495603	0.7689748784
2	0.9999495603	0.6593753906
3	0.9999495603	0.5708878462
4	0.9999495603	0.4978917244
5	0.9999495603	0.436693261
6	0.9999495603	0.3848216675
7	0.9999495603	0.340360632
8	0.9999495603	0.3019592745
9	0.9999495603	0.2685678141
10	0.9999495603	0.2393948944
11	0.9999495603	0.2137510667
12	0.9999495603	0.191198927
13	0.9999495603	0.1712757229
14	0.9999495603	0.1535434694
15	0.9999495603	0.1378438312
16	0.9999495603	0.123884848
17	0.9999495603	0.1114054231
18	0.9999495603	0.1002773117
19	0.9999495603	0.0902882138
20	0.9999495603	0.08134712015
21	0.9999495603	0.07337013512
22	0.9999495603	0.0662104842
23	0.9999495603	0.05979466236
24	0.9999495603	0.05399820755
25	0.9999495603	0.04879193249
26	0.9999495603	0.04413010517
27	0.9999495603	0.03991503676
28	0.9999495603	0.03612179025
29	0.9999495603	0.03269644676
30	0.9999495603	0.02961588459
31	0.9999495603	0.02682556395
32	0.9999495603	0.02431363873
33	0.9999495603	0.0220529518
34	0.9999495603	0.02001919936
35	0.9999495603	0.01817151019
36	0.9999495603	0.01648723883
37	0.9999495603	0.01498373277
38	0.9999495603	0.01361825421
39	0.9999495603	0.01240354696
40	0.9999495603	0.01128159442
