iter	Passed	Remaining
0	22	11234
1	44	11022
2	66	10970
3	88	10968
4	109	10849
5	131	10833
6	154	10858
7	175	10782
8	197	10764
9	218	10725
10	239	10636
11	260	10608
12	281	10536
13	302	10503
14	319	10328
15	340	10295
16	361	10264
17	382	10241
18	404	10244
19	433	10415
20	460	10503
21	500	10865
22	521	10814
23	543	10787
24	565	10753
25	587	10710
26	609	10674
27	632	10659
28	653	10614
29	675	10586
30	696	10536
31	718	10509
32	739	10469
33	762	10446
34	784	10425
35	805	10386
36	826	10339
37	848	10311
38	869	10282
39	892	10264
40	915	10244
